entidad,Nom_entidad,municipio,Nom_municipio,seccion
23,Quintana Roo,2,Felipe Carrillo Puerto,195
24,San Luis Potosí,28,San Luis Potosí,775
24,San Luis Potosí,28,San Luis Potosí,1106
24,San Luis Potosí,28,San Luis Potosí,787
24,San Luis Potosí,28,San Luis Potosí,1074
24,San Luis Potosí,28,San Luis Potosí,1110
24,San Luis Potosí,28,San Luis Potosí,1039
24,San Luis Potosí,35,Soledad de Graciano Sánchez,1273
24,San Luis Potosí,35,Soledad de Graciano Sánchez,1304
24,San Luis Potosí,35,Soledad de Graciano Sánchez,1247
24,San Luis Potosí,35,Soledad de Graciano Sánchez,1274
25,Sinaloa,6,Culiacán,887
25,Sinaloa,6,Culiacán,1477
25,Sinaloa,6,Culiacán,1210
25,Sinaloa,6,Culiacán,1279
25,Sinaloa,12,Mazatlán,2691
25,Sinaloa,12,Mazatlán,2988
26,Sonora,30,Hermosillo,217
26,Sonora,49,Quiriego,590
26,Sonora,49,Quiriego,571
26,Sonora,49,Quiriego,532
26,Sonora,49,Quiriego,341
26,Sonora,49,Quiriego,1332
26,Sonora,59,Santa Cruz,951
26,Sonora,59,Santa Cruz,956
26,Sonora,59,Santa Cruz,807
27,Tabasco,4,Centro,440
27,Tabasco,4,Centro,232
28,Tamaulipas,32,Reynosa,1125
28,Tamaulipas,41,Victoria,1682
28,Tamaulipas,27,Nuevo Laredo,866
28,Tamaulipas,9,Ciudad Madero,165
30,Veracruz de Ignacio de la Llave,109,Misantla,2476
30,Veracruz de Ignacio de la Llave,192,Vega de Alatorre,4474
30,Veracruz de Ignacio de la Llave,192,Vega de Alatorre,4498
30,Veracruz de Ignacio de la Llave,192,Vega de Alatorre,4497
30,Veracruz de Ignacio de la Llave,67,Filomeno Mata,1480
31,Yucatán,50,Mérida,625
31,Yucatán,50,Mérida,265
31,Yucatán,50,Mérida,642
31,Yucatán,50,Mérida,639
31,Yucatán,50,Mérida,643
31,Yucatán,50,Mérida,254
31,Yucatán,50,Mérida,476
31,Yucatán,50,Mérida,638
31,Yucatán,41,Kanasín,220
32,Zacatecas,56,Zacatecas,1870
32,Zacatecas,17,Guadalupe,470
3,,4,,298
