"entidad","municipio","seccion","pobtot","p_60ymas","p18ym_pb","pea","vph_inter","num_zu","num_ss","num_farm","total"
21,115,1586,0.482668960137608,0.536161122978334,0.620185794464873,0.435724671087627,0.479216099833026,0,0.0343580470162749,0.0517241379310345,0.543314228172464
2,4,1775,0.584735084105046,0.244125724748245,0.418327849816141,0.580197879357424,0.536250988663327,0.16,0,0.0344827586206897,0.542018925082812
1,5,413,0.374002440146409,0.478791577662496,0.561641184439714,0.347920139012022,0.475612971262853,0.36,0.0108499095840868,0.0689655172413793,0.540192167038344
2,4,1498,0.516751005060304,0.359475129691791,0.596042190826398,0.494875704812227,0.581861323490641,0,0,0.0517241379310345,0.539383294008826
3,4,298,0.543792627557653,0.411657003356729,0.545819624540352,0.585588141423455,0.519289920028122,0.12,0.0216998191681736,0.120689655172414,0.538577817055724
12,29,1267,0.449546972818369,0.4382056759231,0.499612928198181,0.401574523919288,0.33245452148695,0.24,0.0126582278481013,0,0.537405285019399
31,50,254,0.340460427625658,0.550503509307293,0.529804528740081,0.326039930493989,0.436857368837332,0.48,0.0669077757685353,0.120689655172414,0.536850457525565
25,6,1279,0.576654599275957,0.436679890143424,0.822624346816334,0.532146530018795,0.682485279901573,0.36,0.0433996383363472,0.362068965517241,0.536778338794071
8,19,805,0.237594255655339,0.544095209032652,0.428004644861622,0.222986630731586,0.312944898497232,0.4,0.311030741410488,0.0344827586206897,0.535320810432685
32,17,470,0.556393383603016,0.385413487946292,0.50783820398684,0.493386290293982,0.500659108884788,0.04,0.0198915009041591,0.0517241379310345,0.534840956182597
25,12,2988,0.514490869452167,0.433628318584071,0.578430423843623,0.481861058902798,0.470427981369189,0.16,0.0108499095840868,0.103448275862069,0.533934373414973
14,120,3226,0.580574834490069,0.440341776014648,0.487807238242694,0.546934288449945,0.460761051058968,0,0.00723327305605787,0.0689655172413793,0.531675590958824
11,20,1614,0.478348700922055,0.424778761061947,0.569963228178827,0.467073300471648,0.481588891818262,0.04,0.00723327305605787,0.0517241379310345,0.531381374171569
26,49,341,0.515170910254615,0.542874580408911,0.672005031933424,0.489201744742721,0.557957641269004,0,0.0144665461121157,0.172413793103448,0.527443507541045
14,69,1941,0.490509430565834,0.488251449496491,0.391377975614476,0.478953154367176,0.419456894278935,0,0.00361663652802893,0,0.527216554085094
18,17,799,0.552833169990199,0.352456515105279,0.465792529514225,0.504166814426043,0.448106160471043,0.04,0.0054249547920434,0.0344827586206897,0.526533186843676
11,7,336,0.486529191751505,0.406164174549893,0.518869750338688,0.445086705202312,0.467703664645399,0,0.180831826401447,0.0862068965517241,0.524656462323407
18,4,118,0.653759225553533,0.449191333536771,0.443826204760983,0.641795808361999,0.369276737850426,0,0.0470162748643761,0.120689655172414,0.524279661941085
25,6,1210,0.548132887973278,0.393042416844675,0.576591832784982,0.504592361431256,0.451182001933386,0,0.00904159132007233,0.0862068965517241,0.522396240263248
19,10,218,0.651879112746765,0.277082697589258,0.365250628991678,0.510514557253803,0.447051586255383,0,0.0054249547920434,0.0172413793103448,0.52054793996979
8,19,608,0.455267316038962,0.425389075373818,0.538562028256242,0.428313060746835,0.497143861499253,0,0.00904159132007233,0.0517241379310345,0.519854451944208
